,a,b,c,d
A,0.22972833499425707,-1.260317890465187,-0.5156431115069475,-0.7754294518948344
B,0.5390837445528043,0.9992262368380558,0.359926759194715,0.02954705180293543
C,-0.4209521336795178,-2.6633212886040747,-0.9219466882414563,0.4277002307806746
D,-0.24271533867952627,-0.5847110545386922,-0.20069634257281352,1.4198485426125835
E,0.16297052620045493,0.34296251563437635,-0.1303282744067937,2.5590566173630727
F,-0.19311585022470362,1.5552643829596275,-0.5802552716011203,0.9181278160385643
G,-1.290153988486934,1.5160444605221393,0.3760754694783869,-0.3962137892049793
H,0.6640826657986271,-0.5959208481117181,1.3336973219090456,-1.2382462774676561
I,-1.238719714302592,0.3505329877082001,-1.2992991318842249,-0.7807233315610541
J,-1.0198894372001144,0.3131831955438929,-0.7450698426185333,0.5017614028691998
